    519054      51301
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          1
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          1
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          4          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          1
         1          5          0
         1          5          0
         1          5          1
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          1
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          0
         1          5          1
         1          5          0
         1          5          1
         1          5          0
